batalla,winrate_vs_heuristics,epsilon
86200,50.0,0.009994107583211972
86400,42.0,0.009994107583211972
86600,36.0,0.009994107583211972
86800,52.0,0.009994107583211972
87000,48.0,0.009994107583211972
87200,46.0,0.009994107583211972
87400,48.0,0.009994107583211972
87600,48.0,0.009994107583211972
87800,46.0,0.009994107583211972
88000,44.0,0.009994107583211972
88200,52.0,0.009994107583211972
88400,48.0,0.009994107583211972
88600,32.0,0.009994107583211972
88800,44.0,0.009994107583211972
89000,40.0,0.009994107583211972
89200,60.0,0.009994107583211972
89400,38.0,0.009994107583211972
89600,56.00000000000001,0.009994107583211972
89800,38.0,0.009994107583211972
90000,48.0,0.009994107583211972
90200,52.0,0.009994107583211972
90400,48.0,0.009994107583211972
90600,48.0,0.009994107583211972
90800,54.0,0.009994107583211972
91000,64.0,0.009994107583211972
91200,70.0,0.009994107583211972
91400,42.0,0.009994107583211972
91600,52.0,0.009994107583211972
91800,38.0,0.009994107583211972
92000,48.0,0.009994107583211972
92200,44.0,0.009994107583211972
92400,48.0,0.009994107583211972
92600,44.0,0.009994107583211972
92800,54.0,0.009994107583211972
93000,56.00000000000001,0.009994107583211972
93200,42.0,0.009994107583211972
93400,36.0,0.009994107583211972
93600,57.99999999999999,0.009994107583211972
93800,48.0,0.009994107583211972
94000,48.0,0.009994107583211972
94200,56.00000000000001,0.009994107583211972
94400,46.0,0.009994107583211972
94600,38.0,0.009994107583211972
94800,54.0,0.009994107583211972
95000,44.0,0.009994107583211972
95200,38.0,0.009994107583211972
95400,44.0,0.009994107583211972
95600,52.0,0.009994107583211972
95800,36.0,0.009994107583211972
96000,44.0,0.009994107583211972
96200,44.0,0.009994107583211972
96400,40.0,0.009994107583211972
96600,50.0,0.009994107583211972
96800,44.0,0.009994107583211972
97000,44.0,0.009994107583211972
97200,42.0,0.009994107583211972
97400,44.0,0.009994107583211972
97600,32.0,0.009994107583211972
97800,46.0,0.009994107583211972
98000,46.0,0.009994107583211972
98200,54.0,0.009994107583211972
98400,42.0,0.009994107583211972
98600,34.0,0.009994107583211972
98800,50.0,0.009994107583211972
99000,48.0,0.009994107583211972
99200,54.0,0.009994107583211972
99400,50.0,0.009994107583211972
99600,52.0,0.009994107583211972
99800,46.0,0.009994107583211972
100000,30.0,0.009994107583211972
100200,48.0,0.009994107583211972
100400,52.0,0.009994107583211972
100600,50.0,0.009994107583211972
100800,34.0,0.009994107583211972
101000,56.00000000000001,0.009994107583211972
101200,32.0,0.009994107583211972
101400,42.0,0.009994107583211972
101600,44.0,0.009994107583211972
101800,50.0,0.009994107583211972
102000,52.0,0.009994107583211972
102200,56.00000000000001,0.009994107583211972
102400,38.0,0.009994107583211972
102600,44.0,0.009994107583211972
102800,48.0,0.009994107583211972
103000,44.0,0.009994107583211972
103200,64.0,0.009994107583211972
103400,56.00000000000001,0.009994107583211972
103600,36.0,0.009994107583211972
103800,46.0,0.009994107583211972
104000,60.0,0.009994107583211972
104200,60.0,0.009994107583211972
104400,38.0,0.009994107583211972
104600,57.99999999999999,0.009994107583211972
104800,40.0,0.009994107583211972
105000,56.00000000000001,0.009994107583211972
105200,54.0,0.009994107583211972
105400,46.0,0.009994107583211972
105600,38.0,0.009994107583211972
105800,40.0,0.009994107583211972
106000,4.0,0.009994107583211972
106200,54.0,0.009994107583211972
106400,40.0,0.009994107583211972
106600,54.0,0.009994107583211972
106800,36.0,0.009994107583211972
107000,36.0,0.009994107583211972
107200,52.0,0.009994107583211972
107400,42.0,0.009994107583211972
107600,46.0,0.009994107583211972
107800,50.0,0.009994107583211972
108000,34.0,0.009994107583211972
108200,30.0,0.009994107583211972
108400,54.0,0.009994107583211972
108600,46.0,0.009994107583211972
108800,42.0,0.009994107583211972
109000,22.0,0.009994107583211972
109200,44.0,0.009994107583211972
109400,40.0,0.009994107583211972
109600,44.0,0.009994107583211972
109800,56.00000000000001,0.009994107583211972
110000,56.00000000000001,0.009994107583211972
110200,42.0,0.009994107583211972
110400,44.0,0.009994107583211972
110600,46.0,0.009994107583211972
110800,52.0,0.009994107583211972
111000,44.0,0.009994107583211972
111200,24.0,0.009994107583211972
111400,28.000000000000004,0.009994107583211972
111600,46.0,0.009994107583211972
111800,40.0,0.009994107583211972
112000,40.0,0.009994107583211972
112200,38.0,0.009994107583211972
112400,42.0,0.009994107583211972
112600,56.00000000000001,0.009994107583211972
112800,46.0,0.009994107583211972
113000,48.0,0.009994107583211972
113200,50.0,0.009994107583211972
113400,54.0,0.009994107583211972
113600,40.0,0.009994107583211972
113800,52.0,0.009994107583211972
114000,54.0,0.009994107583211972
114200,42.0,0.009994107583211972
114400,56.00000000000001,0.009994107583211972
114600,42.0,0.009994107583211972
114800,34.0,0.009994107583211972
115000,42.0,0.009994107583211972
115200,38.0,0.009994107583211972
115400,50.0,0.009994107583211972
115600,30.0,0.009994107583211972
115800,38.0,0.009994107583211972
116000,38.0,0.009994107583211972
116200,46.0,0.009994107583211972
116400,46.0,0.009994107583211972
116600,28.000000000000004,0.009994107583211972
116800,50.0,0.009994107583211972
117000,48.0,0.009994107583211972
117200,42.0,0.009994107583211972
117400,34.0,0.009994107583211972
117600,50.0,0.009994107583211972
117800,42.0,0.009994107583211972
118000,42.0,0.009994107583211972
118200,42.0,0.009994107583211972
118400,48.0,0.009994107583211972
118600,56.00000000000001,0.009994107583211972
118800,46.0,0.009994107583211972
119000,46.0,0.009994107583211972
119200,52.0,0.009994107583211972
119400,48.0,0.009994107583211972
119600,50.0,0.009994107583211972
119800,56.00000000000001,0.009994107583211972
120000,46.0,0.009994107583211972
120200,48.0,0.009994107583211972
120400,48.0,0.009994107583211972
120600,40.0,0.009994107583211972
120800,52.0,0.009994107583211972
121000,46.0,0.009994107583211972
121200,48.0,0.009994107583211972
121400,46.0,0.009994107583211972
121600,50.0,0.009994107583211972
121800,48.0,0.009994107583211972
122000,32.0,0.009994107583211972
122200,50.0,0.009994107583211972
122400,38.0,0.009994107583211972
122600,44.0,0.009994107583211972
122800,50.0,0.009994107583211972
123000,44.0,0.009994107583211972
123200,46.0,0.009994107583211972
123400,50.0,0.009994107583211972
123600,52.0,0.009994107583211972
123800,52.0,0.009994107583211972
124000,36.0,0.009994107583211972
124200,36.0,0.009994107583211972
124400,44.0,0.009994107583211972
124600,54.0,0.009994107583211972
124800,44.0,0.009994107583211972
125000,56.00000000000001,0.009994107583211972
125200,44.0,0.009994107583211972
125400,57.99999999999999,0.009994107583211972
125600,48.0,0.009994107583211972
125800,44.0,0.009994107583211972
126000,28.000000000000004,0.009994107583211972
126200,54.0,0.009994107583211972
126400,52.0,0.009994107583211972
